batch_size,learning_rate,dropout_rate,accuracy_single,precision_single,recall_single,f1_single,auc_single
32,0.001,0.4,0.5307125307125307,0.5579319396606517,0.5365033382134587,0.5275973409306742,0.70996370898403
32,0.001,0.6,0.4963144963144963,0.5020897532889202,0.4975460652690818,0.48796032837965536,0.685821791497269
32,0.001,0.8,0.5233415233415234,0.5582373116577062,0.5246237423293774,0.5211574661342102,0.7027668276115235
32,0.0001,0.4,0.547911547911548,0.5665583350270147,0.5518162996189349,0.5451484362824022,0.719556909311847
32,0.0001,0.6,0.5577395577395577,0.5652645489286402,0.5574615456499392,0.5568411534064069,0.7233055466726018
32,0.0001,0.8,0.5307125307125307,0.5450662172359302,0.5308928968216885,0.534125852994834,0.7066310561196408
32,0.0005,0.4,0.5061425061425061,0.5117529549488312,0.5080828582998473,0.5006996814524675,0.6924028998083952
32,0.0005,0.6,0.4619164619164619,0.4645544887740428,0.4636660332886854,0.45100680331053755,0.6644749112638779
32,0.0005,0.8,0.5454545454545454,0.5619434623559842,0.5467670934180606,0.5388836890347531,0.7165233247925773
64,0.001,0.4,0.5798525798525799,0.5965629530500725,0.5774643283597587,0.5762751953928424,0.7360436286550524
64,0.001,0.6,0.5012285012285013,0.5341825716382788,0.5052697878702925,0.5024610294289114,0.6906295006062857
64,0.001,0.8,0.5528255528255528,0.5828327328159645,0.5515843379123447,0.5483442361234724,0.7197668533236564
64,0.0001,0.4,0.5405405405405406,0.587474358974359,0.5417230373070014,0.53462624202732,0.7134183662657525
64,0.0001,0.6,0.6167076167076168,0.6534664980716148,0.6166828437633036,0.6165274837579385,0.760359450105922
64,0.0001,0.8,0.6068796068796068,0.6274415270719619,0.6070181602965455,0.6046199721512727,0.7542729552570135
64,0.0005,0.4,0.542997542997543,0.5563016448773979,0.5435293067106917,0.5402517920055834,0.7146195345365122
64,0.0005,0.6,0.5552825552825553,0.6105417690753262,0.552643179765131,0.5536599354703295,0.720552403533583
64,0.0005,0.8,0.5896805896805897,0.6220123689010488,0.5934980116084686,0.5892262802809315,0.7455582115986246
128,0.001,0.4,0.542997542997543,0.5635426837313631,0.5417493692178301,0.5417033075856605,0.7137157592662039
128,0.001,0.6,0.5577395577395577,0.560777065933785,0.5605750656740285,0.5567470146561269,0.7249557480527615
128,0.001,0.8,0.6412776412776413,0.6453229683235164,0.6384721261772005,0.6363140987021584,0.7743283232334741
128,0.0001,0.4,0.601965601965602,0.6548063486403655,0.6020805947523076,0.6026612137984791,0.7512599999239571
128,0.0001,0.6,0.5651105651105651,0.5805917844861995,0.5668911524364285,0.5519590643274854,0.7291732012061319
128,0.0001,0.8,0.6363636363636364,0.652958610323876,0.6381724657093315,0.6352155682918708,0.7737404169577605
128,0.0005,0.4,0.5405405405405406,0.573377155063197,0.5425386204819903,0.537550899923865,0.7139799460830893
128,0.0005,0.6,0.5651105651105651,0.5903507255325717,0.5704990810827648,0.5601487060369565,0.731135642405185
128,0.0005,0.8,0.5454545454545454,0.6565528047369266,0.5455403752504957,0.5332743174573765,0.7158602598063745
